                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4373,                0.68274,                 1.1151,                0.91993,                0.88319,                0.92765,                0.51596,                 1.5743,                0.63827,                  1.229,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.4655,                0.68945,                 1.1189,                0.91042,                0.87401,                0.92189,                0.50214,                 1.6009,                0.63901,                 1.2597,               0.001769,               0.001769,               0.001769
                     37,                 1.4393,                0.67547,                 1.1153,                0.92638,                0.89575,                0.93459,                0.51356,                 1.5917,                0.63248,                 1.2633,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.3997,                0.66141,                 1.1016,                0.92702,                 0.8983,                0.93971,                  0.529,                 1.5337,                0.63038,                 1.2369,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.4114,                 0.6645,                 1.1025,                0.91391,                0.87801,                0.91828,                 0.5117,                 1.5918,                0.65767,                 1.2446,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.3692,                0.64588,                 1.0845,                0.93583,                0.88398,                0.93167,                0.52382,                 1.5454,                0.63201,                 1.2268,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.3856,                0.65331,                 1.0894,                   0.94,                0.89209,                 0.9406,                 0.5298,                 1.5504,                0.62199,                 1.2309,               0.001736,               0.001736,               0.001736
                     42,                 1.3485,                0.63795,                 1.0762,                0.92946,                0.90013,                0.94204,                 0.5394,                 1.5187,                0.61584,                 1.2123,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.3598,                0.64552,                 1.0869,                0.92015,                0.89027,                0.93956,                0.51476,                 1.5783,                 0.6361,                 1.2322,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.3694,                0.65342,                 1.0835,                0.93484,                0.89065,                0.93022,                0.52313,                  1.551,                0.61544,                 1.2145,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.3777,                0.65034,                 1.0977,                0.92799,                 0.8952,                0.93126,                0.52441,                 1.5687,                0.62163,                 1.2628,              0.0017096,              0.0017096,              0.0017096
