                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7853,                 1.2584,                 1.9252,                 0.6665,                0.61307,                 0.6567,                0.28269,                 1.9246,                 1.4784,                 2.0623,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6127,                 1.0608,                 1.6152,                0.74739,                0.60804,                0.69887,                0.31117,                 1.8914,                 1.3991,                 2.0253,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6649,                 1.0135,                 1.6678,                0.74201,                0.63317,                0.70999,                0.30642,                 1.9599,                 1.3231,                 2.0673,               0.001307,               0.001307,               0.001307
                     37,                 1.7486,                 1.1034,                 1.8302,                0.67076,                0.68844,                0.69119,                 0.2912,                 1.9846,                 1.3021,                 2.0993,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6843,                0.93342,                  1.548,                 0.6676,                0.64824,                0.65756,                0.27963,                 1.9696,                 1.3591,                 2.0813,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6627,                 1.0579,                 1.7355,                0.64727,                0.52261,                0.59054,                0.24349,                 2.0926,                 1.5173,                 2.1761,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5864,                  1.043,                  1.533,                0.56697,                0.59216,                0.59712,                0.24942,                 2.1196,                 1.5115,                 2.1897,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7753,                 1.9194,                 1.8442,                0.65286,                0.61307,                 0.6407,                0.28852,                 1.9625,                 1.3906,                 2.0635,               0.001208,               0.001208,               0.001208
                     42,                 1.5429,                 0.9774,                 1.5706,                0.66388,                0.64824,                0.65399,                0.30515,                  1.871,                 1.3435,                 1.9831,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6676,                 1.7557,                  1.935,                0.71158,                 0.6447,                0.65561,                0.31089,                 1.8785,                 1.3405,                 2.0153,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7411,                 1.2409,                 1.9093,                 0.7036,                0.60302,                 0.6617,                0.30658,                 1.8803,                  1.353,                 2.0477,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4945,                0.90533,                 1.5345,                0.66007,                0.67337,                0.68917,                0.31001,                  1.899,                 1.3654,                 2.0815,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7288,                 1.1483,                 1.8513,                0.74672,                0.65327,                0.69729,                0.30837,                 1.9373,                 1.3734,                 2.0922,               0.001109,               0.001109,               0.001109
                     47,                 1.6286,                 1.0012,                 1.5149,                0.70252,                0.66834,                0.69532,                 0.3087,                 1.9173,                 1.3234,                 2.0644,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5829,                 1.0295,                 1.7265,                0.74394,                0.61809,                0.69384,                0.31236,                 1.8737,                  1.289,                 2.0118,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6668,                 1.0302,                 1.7523,                0.67108,                0.67666,                0.68555,                0.31152,                 1.9061,                 1.3095,                 2.0156,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4585,                0.86299,                 1.5499,                0.76394,                0.66834,                 0.7358,                0.33712,                 1.8952,                 1.2409,                 1.9945,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5378,                0.95964,                 1.6517,                0.79424,                0.65829,                0.76951,                0.33416,                 1.9551,                 1.2016,                 2.0398,                0.00101,                0.00101,                0.00101
                     52,                 1.5853,                0.98307,                 1.5752,                 0.7555,                0.68844,                 0.7441,                0.34107,                 1.9429,                 1.1854,                  2.063,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5901,                 1.1648,                 1.6776,                0.70428,                0.72362,                0.73346,                0.34045,                 1.8873,                 1.1764,                 2.0301,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5532,                0.98645,                   1.75,                  0.769,                0.68342,                0.74287,                0.33673,                 1.8538,                 1.1596,                 2.0114,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6155,                 1.0099,                 1.6926,                 0.7975,                0.65829,                0.73267,                0.32955,                  1.848,                 1.1813,                 1.9982,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5336,                0.96815,                 1.6411,                0.72799,                0.68342,                0.71596,                0.31292,                 1.8837,                 1.2172,                 2.0209,               0.000911,               0.000911,               0.000911
                     57,                 1.4621,                0.91198,                 1.4388,                0.71352,                0.66332,                 0.6996,                 0.3032,                 1.9104,                 1.2436,                 2.0445,              0.0008912,              0.0008912,              0.0008912
