                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9223,                0.97913,                 1.4724,                0.85853,                0.79204,                0.83168,                0.38465,                 1.8153,                0.95057,                 1.4869,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9039,                 0.9856,                 1.4689,                0.89991,                0.79841,                0.86413,                 0.3803,                 1.8576,                0.94346,                 1.5018,               0.001307,               0.001307,               0.001307
                     37,                 1.9117,                0.97116,                 1.4752,                0.87427,                0.78491,                0.85192,                 0.3669,                 1.9011,                 1.0158,                 1.5281,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8942,                0.97433,                 1.4704,                0.89238,                0.80685,                 0.8608,                0.37828,                 1.8685,                0.97421,                 1.5108,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.902,                0.97215,                 1.4735,                0.87255,                0.79687,                0.85648,                0.38498,                 1.8406,                0.99582,                 1.4899,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.9011,                0.97594,                 1.4936,                0.84259,                0.78215,                 0.8114,                0.36879,                 1.8529,                0.93479,                 1.5035,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8982,                0.96905,                 1.4614,                0.84368,                 0.7672,                0.81312,                0.36884,                 1.8219,                0.93326,                 1.4863,               0.001208,               0.001208,               0.001208
                     42,                 1.8843,                0.95745,                 1.4731,                0.87628,                0.81044,                0.86639,                0.40556,                 1.8088,                0.94324,                 1.4729,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8504,                0.95785,                 1.4315,                0.82944,                0.76536,                0.79231,                0.35229,                 1.8517,                0.95666,                 1.5038,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8783,                0.94222,                 1.4566,                0.81127,                0.75746,                0.80246,                0.35728,                 1.8388,                0.97033,                 1.5158,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8368,                0.95069,                 1.4333,                0.88013,                 0.8231,                0.87067,                0.39459,                 1.8362,                0.96387,                 1.4816,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8584,                0.93303,                 1.4422,                0.89092,                0.79668,                0.85223,                0.36669,                 1.9338,                0.99855,                 1.5344,               0.001109,               0.001109,               0.001109
                     47,                 1.8538,                0.93687,                 1.4212,                 0.9056,                0.83207,                0.88154,                0.41843,                 1.7962,                0.92048,                 1.4613,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8141,                0.89864,                 1.4239,                0.89817,                0.82701,                0.87762,                0.40757,                 1.8504,                 0.8984,                 1.4814,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8263,                0.90311,                 1.4209,                0.89726,                0.81504,                 0.8674,                0.41666,                 1.7578,                0.89329,                 1.4454,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.8045,                0.89996,                 1.4198,                0.88719,                0.82264,                0.87576,                0.39928,                 1.8535,                0.93728,                   1.49,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7942,                0.88101,                 1.4024,                 0.9055,                0.82333,                 0.8682,                0.41447,                 1.7955,                0.88358,                 1.4603,                0.00101,                0.00101,                0.00101
                     52,                 1.7785,                0.88372,                 1.4065,                 0.9119,                0.81197,                0.87763,                0.41736,                 1.7969,                 0.8772,                 1.4569,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.843,                0.89415,                 1.4078,                 0.8545,                0.82145,                0.85571,                 0.3989,                 1.8134,                 0.8928,                 1.4823,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7986,                0.88351,                 1.4132,                0.89805,                0.85111,                0.89232,                0.42428,                  1.826,                 0.8899,                 1.4648,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.803,                0.87211,                 1.3775,                0.85285,                0.80561,                 0.8265,                0.37952,                 1.8372,                0.88337,                 1.4883,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7715,                0.86087,                 1.4028,                0.87992,                0.82263,                0.87018,                0.40588,                 1.8336,                0.91498,                 1.4726,               0.000911,               0.000911,               0.000911
                     57,                 1.7761,                0.86678,                    1.4,                0.89637,                0.83943,                0.88356,                0.42318,                 1.7731,                0.85236,                  1.444,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7521,                0.84799,                 1.3811,                0.90391,                0.84182,                0.90078,                0.44627,                 1.7576,                0.86401,                  1.435,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7473,                0.84353,                 1.3804,                0.90831,                0.84771,                0.89076,                0.44463,                  1.742,                 0.8373,                 1.4266,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7338,                0.82707,                 1.3675,                0.88941,                0.83023,                 0.8866,                0.41979,                 1.8505,                0.88313,                 1.4818,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7124,                0.82195,                 1.3774,                0.91152,                0.84541,                0.90482,                0.43663,                  1.776,                0.84596,                 1.4431,               0.000812,               0.000812,               0.000812
                     62,                 1.7617,                0.83313,                 1.3605,                0.90857,                0.82755,                0.88112,                0.43547,                 1.7536,                0.84208,                 1.4298,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7061,                0.81972,                 1.3429,                0.90354,                0.83943,                 0.8823,                0.43628,                  1.751,                0.79021,                 1.4294,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7214,                0.80184,                 1.3599,                0.92662,                0.84819,                0.90478,                0.43961,                 1.7882,                0.79211,                 1.4518,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6946,                0.79302,                 1.3506,                0.93614,                 0.8507,                0.91211,                0.45117,                 1.7608,                0.80717,                 1.4257,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6826,                 0.8038,                 1.3442,                0.93367,                0.86865,                0.92139,                0.45837,                 1.7661,                0.78513,                 1.4303,               0.000713,               0.000713,               0.000713
                     67,                  1.703,                0.79799,                 1.3595,                0.91543,                0.86654,                0.90655,                0.45886,                 1.7462,                0.76741,                 1.4294,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6944,                0.78275,                 1.3337,                0.92972,                0.85817,                0.90657,                0.45519,                 1.7315,                0.78621,                 1.4181,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6563,                0.77429,                 1.3349,                0.93335,                0.86174,                0.91066,                0.44179,                 1.8229,                0.79114,                 1.4668,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6752,                0.78658,                 1.3323,                0.92227,                0.85415,                0.91344,                0.45021,                 1.7743,                0.80532,                 1.4333,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6952,                0.79203,                 1.3622,                 0.9143,                 0.8394,                0.88742,                0.44812,                 1.7195,                0.75122,                 1.4209,               0.000614,               0.000614,               0.000614
                     72,                 1.6339,                0.76785,                 1.3136,                0.94424,                0.87003,                0.92771,                0.46862,                 1.7408,                0.76438,                 1.4151,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6265,                0.76136,                 1.3218,                0.91858,                0.87486,                0.91433,                0.45584,                 1.7695,                0.77517,                 1.4373,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6231,                0.74355,                 1.3265,                0.92483,                0.85346,                 0.9145,                0.41405,                 1.9226,                0.82375,                 1.5151,              0.0005546,              0.0005546,              0.0005546
